ID;Catégorie Réelle;Secteur Futuriste;Titre Futuriste (SF);;Description Narrative (SF);Objectif / Action Réelle;Description Réelle;Économie CO2 (kg);Économie Eau (L);Économie Déchets (kg);Gain HP / IT
6;Courses;Secteur Courses;Mission : Préparer soi-même son pain ou sa brioche;6-Préparer soi-même son pain ou sa brioche;Les réplicateurs de biomasse sont en surchauffe totale ! Pour éviter l'explosion du réacteur gastrique de l'Arche, tu dois : **Préparer soi-même son pain ou sa brioche**;Préparer soi-même son pain ou sa brioche;Lorsqu''on fait soi-même ses yaourts ou ses compotes, on réduit le nombre d''emballages que l''on produit.;1.3;0;0.2;1
205;Déchets;Recycleur Moléculaire;Sélection Matériaux Recyclables;205-Privilégier les achats d’objets recyclables (carton plutôt que plastique);Le plastique non-recyclable obstrue les recycleurs. Choisissez prioritairement des objets en matériaux recyclables comme le carton.;Privilégier les achats d’objets recyclables (carton plutôt que plastique);0;0.5;0;0;10
12;Déchets;Recycleur Moléculaire;Mission : Ramasser les déchets et les mettre dans une poubelle;12-Ramasser les déchets et les mettre dans une poubelle;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Ramasser les déchets et les mettre dans une poubelle**;Ramasser les déchets et les mettre dans une poubelle;Lorsqu''on jette des déchets dans la nature, ils peuvent mettre des années avant de se dégrader (épluchure de fruit 6 mois, chewing-gum 5 ans, canette aluminium 50 ans, sac plastique 450 ans,,,), De plus, ces déchets sont dangereux pour les animaux qui peuvent les ingurgiter.;0;0;0.1;10
85;Déchets;Recycleur Moléculaire;Opération Nettoyage de Terrain;85-Ramasser les papiers et les Déchetss par terre pour les mettre à la poubelle;Les nano-déchets terrestres menacent la pureté du sol. Ramassez et recyclez tous les déchets visibles autour de votre base.;Ramasser les papiers et les Déchetss par terre pour les mettre à la poubelle;0;0;0;0.1;10
39;Eau;Bouclier Hydrique;Mission : Récupérer l’‘eau froide de la douche pour arroser les plantes;39-Récupérer l’‘eau froide de la douche pour arroser les plantes;Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Récupérer l’‘eau froide de la douche pour arroser les plantes**;Récupérer l’‘eau froide de la douche pour arroser les plantes;;0;35;0;35
109;Eau;Bouclier Hydrique;Récupération des Eaux Grises;109-Récupérer l’eau de pluie ou l’eau froide de la douche avant qu’elle chauffe pour arroser les plantes;L'eau de pluie et l'eau froide de douche sont des ressources recyclables. Récupérez-les pour l'irrigation.;Récupérer l’eau de pluie ou l’eau froide de la douche avant qu’elle chauffe pour arroser les plantes;35;0;35;0;35
215;Déchets;Recycleur Moléculaire;Contrôle des Acquisitions Technologiques;215-Réduire son budget achat de machine et équipements;Chaque nouvelle machine alourdit la charge énergétique. Réduisez les achats d'équipements.;Réduire son budget achat de machine et équipements;0;5.8;0;0;6
214;Déchets;Recycleur Moléculaire;Optimisation des Modules d'Habitation;214-Réduire son budget achat de mobiliers;Les nouveaux meubles consomment trop de ressources. Réduisez vos achats de mobiliers.;Réduire son budget achat de mobiliers;0;5;0;0.1;5
207;Déchets;Recycleur Moléculaire;Minimisation des Acquisitions Vestimentaires;207-Réduire son budget vêtement;Les textiles consomment trop de ressources. Réduisez votre budget vêtements pour alléger la charge logistique.;Réduire son budget vêtement;2500;2.5;2500;0.1;2503
8;Déchets;Recycleur Moléculaire;Mission : Réutiliser le dos des feuilles en brouillon;8-Réutiliser le dos des feuilles en brouillon;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Réutiliser le dos des feuilles en brouillon**;Réutiliser le dos des feuilles en brouillon;Le papier est fabriqué avec du bois en provenance des arbres. Les arbres contribuent à la qualité de l''air qu''on respire car ils absorbent du gaz carbonique et rejettent de l''oxygène dont nous avons besoin. Utilisons du papier recyclé et économisons le papier pour protéger les forêts et du coup, la qualité de notre air.;0;0;0.8;1
107;Eau;Bouclier Hydrique;Activation de la Chasse Économique;107-Tirer la petite chasse d’eau quand on fait pipi;Les ressources hydriques sont précieuses. Utilisez systématiquement la petite chasse.;Tirer la petite chasse d’eau quand on fait pipi;16.5;0;16.5;0;17
83;Déchets;Recycleur Moléculaire;Protocole Zéro Gaspillage Alimentaire;83-Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Chaque gramme gaspillé affaiblit les réserves de l'Arche. Mission : consommer intégralement tout ce qui est dans votre assiette.;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);0;2.5;0;1.4;4
31;Electricité;Secteur Electricité;Mission : Utiliser la climatisation ou de manière adaptée;31-Utiliser la climatisation ou de manière adaptée;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Utiliser la climatisation ou de manière adaptée**;Utiliser la climatisation ou de manière adaptée;Il faut beaucoup d''électricité pour produire du froid en été. Quand il fait trop chaud dehors, qu''il y a une canicule, il n''est pas utile de rafraîchir l''air à des températures inférieures à 24°.;19.7;0;0;20
91;Déchets;Recycleur Moléculaire;Activation du Tri Sélectif;91-Utiliser les bacs de tri;Les recycleurs de l'Arche nécessitent un tri précis. Utilisez systématiquement les bacs de tri pour optimiser le recyclage.;Utiliser les bacs de tri;0;0.9;0;0;1
16;Déchets;Recycleur Moléculaire;Mission : Utiliser les bacs de tri (noir, vert, jaune);16-Utiliser les bacs de tri (noir, vert, jaune);Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Utiliser les bacs de tri (noir, vert, jaune)**;Utiliser les bacs de tri (noir, vert, jaune);"Trier les déchets permet de recycler tous les déchets qui peuvent l''être et de réduire ce qui est brûlé dans les incinérateurs et donc polluant pour l''air qu''on respire. De plus, on peut fabriquer des nouveaux produits avec ce qui est recyclé sans toucher à nos ressources naturelles <a href=""https://www.youtube.com/watch?v=k3Yfvq-HkFI"">Cliquez ici afin de découvrir pourquoi il faut acheter des objets recyclables</a>";0.9;0;0;1
26;Electricité;Secteur Electricité;Mission : Utiliser les heures creuses;26-Utiliser les heures creuses;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Utiliser les heures creuses**;Utiliser les heures creuses;Mettre la température à 19 degrés permet de limiter la consommation d''énergie que ce soit de gaz, fioul ou électricité;6.1;0;0;6
18;Déchets;Recycleur Moléculaire;Mission : Utiliser une gourde quand on veut boire dehors;18-Utiliser une gourde quand on veut boire dehors;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Utiliser une gourde quand on veut boire dehors**;Utiliser une gourde quand on veut boire dehors;L''eau du robinet est bonne à boire. On dit qu''elle est potable. Si on aime pas trop son goût, on peut la filtrer. On peut même la mettre au frigo si on aime boire de l''eau bien fraîche et on fait des économies.;0.5;0;0.2;1
200;Déchets;Recycleur Moléculaire;Redistribution des Ressources Circulaires;200-Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Les objets inutilisés encombrent les modules de stockage. Vendez ou donnez-les pour réinjecter les ressources dans le circuit.;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);2500;0;2500;0;2500
240;Eau;Bouclier Hydrique;Réinjection Hydrique Végétale;240-Vider le reste de sa gourde dans les plantes;Ne gaspillez pas l'eau restante. Videz votre gourde dans les plantes pour recycler l'humidité.;Vider le reste de sa gourde dans les plantes;0.000013;0;0;0;10
