"ID";"Catégorie Réelle";"Secteur Futuriste";"Titre Futuriste (SF)";"Description Narrative (SF)";"Objectif / Action Réelle";"Description Réelle";"Économie CO2 (kg)";"Économie Eau (L)";"Économie Déchets (kg)";"Gain HP / IT"
"220";"Electricité";"Secteur Electricité";"Déploiement d'Ampoules à Efficacité Maximale";"Les ampoules classiques gaspillent l'énergie. Remplacez-les par des modèles à basse consommation.";"Préférer les ampoules à basse consommation";"0";"0.1";"0.0";"0.0";"10"
"221";"Electricité";"Secteur Electricité";"Cycle Énergétique des Accumulateurs";"Les piles jetables saturent les décharges toxiques. Utilisez exclusivement des piles rechargeables.";"Préférer les piles rechargeables";"0";"0.1";"0.0";"0.0";"10"
"224";"Electricité";"Secteur Electricité";"Limitation des Flux de Données Vidéo";"Les flux vidéo drainent la bande passante et l'énergie du QG. Réduisez votre temps d'exposition.";"Passer moins de temps à regarder des vidéos sur internet";"0";"0.0";"0.0";"0.0";"10"
"226";"Electricité";"Secteur Electricité";"Optimisation Thermique des Cuissons";"Couvrir les casseroles réduit les pertes énergétiques. Activez ce protocole à chaque cuisson.";"Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…";"0";"0.0";"0.0";"0.0";"10"
"101";"Biodiversité";"Biosphère & Faune";"Préservation du Code Génétique Originel";"Les bio-ingénieurs de l'Arche détectent une perturbation dans le flux vital planétaire. Votre mission : ne jamais prélever d'espèces vivantes dans la nature pour préserver l'intégrité du génome terrestre.";"Ne pas prélever d’espèces vivantes dans la nature (animaux ou plantes)";"0";"0.0";"0.0";"0.0";"10"
"102";"Biodiversité";"Biosphère & Faune";"Opération Sauvetage Micro-Écosystème";"Les sentinelles arachnides et insectoïdes sont des alliés cruciaux dans la guerre contre les toxines. Capturez-les vivants et expulsez-les hors de la base terrestre au lieu de les éliminer.";"Ne pas tuer les araignées. les insectes (les mettre dehors…)";"0";"0.0";"0.0";"0.0";"10"
"103";"Biodiversité";"Biosphère & Faune";"Restriction Thermique Protéique";"Les protéines animales alourdissent le bilan énergétique du QG. Limitez viande ou poisson à une seule session nutritionnelle quotidienne.";"Manger de la viande ou du poisson une seule fois par jour";"800";"6.0";"800.0";"0.0";"806"
"182";"Biodiversité";"Biosphère & Faune";"Protocole Nourriture Aviaire";"Les drones aviaires de reconnaissance manquent de carburant biologique. Activez le protocole de ravitaillement en plaçant de la nourriture pour les oiseaux dans votre zone de contrôle terrestre.";"Donner à manger aux oiseaux dans son jardin ou sur son balcon";"0";"0.0";"0.0";"0.0";"10"
"183";"Biodiversité";"Biosphère & Faune";"Activation du Module Hydroponique";"Le réacteur alimentaire de l'Arche est en sous-régime. Déployez un jardin potager pour booster la production locale de biomasse comestible.";"Faire un jardin potager";"0";"4.5";"0.0";"0.0";"4"
"184";"Biodiversité";"Biosphère & Faune";"Restriction Thermique Carnée Niveau 1";"Les réacteurs à viande lourde surchauffent le noyau. Limitez la consommation de viande de gros animaux à une seule activation par cycle terrestre.";"Manger de la viande de gros animaux une seule fois par jour (vache, porc, mouton)";"1500";"5.0";"1500.0";"0.0";"1505"
"185";"Biodiversité";"Biosphère & Faune";"Restriction Thermique Carnée Niveau 2";"Le système digestif surcharge les filtres de l'Arche. Réduisez votre intake de viande (toute catégorie) à une seule fois par jour.";"Manger de la viande une seule fois par jour (volaille, gros animaux, ...)";"1500";"5.5";"1500.0";"0.0";"1505"
"187";"Biodiversité";"Biosphère & Faune";"Synthèse de Biomasse Végétale";"Les réplicateurs carnés surchargent le cœur du réacteur. Pour réduire l'empreinte thermique du QG, activez un repas 100% végétarien par cycle.";"Manger des repas végétarien 1 fois par jour";"0";"1.3";"0.0";"0.0";"1"
"104";"Eau";"Bouclier Hydrique";"Protocole Douche Éclair";"L'eau chaude est une ressource rare. Limitez vos douches à une durée minimale.";"Prendre des douches rapides";"224";"0.3";"224.0";"0.0";"224"
"105";"Eau";"Bouclier Hydrique";"Stabilisation des Réserves Hydriques";"Une fuite critique menace le bouclier hydrique de l'Arche. Fermez le robinet pendant tout le brossage des dents.";"Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer";"28";"0.1";"28.0";"0.0";"28"
"106";"Eau";"Bouclier Hydrique";"Contrôle du Flux Hydrique Manuel";"Chaque seconde d'eau courante est une perte. Minimisez le temps d'écoulement lors du lavage des mains.";"Ne pas faire couler l’eau trop longtemps quand on se lave les mains";"12.6";"0.0";"12.6";"0.0";"13"
"107";"Eau";"Bouclier Hydrique";"Activation de la Chasse Économique";"Les ressources hydriques sont précieuses. Utilisez systématiquement la petite chasse.";"Tirer la petite chasse d’eau quand on fait pipi";"16.5";"0.0";"16.5";"0.0";"17"
"108";"Eau";"Bouclier Hydrique";"Interdiction des Bains Immersifs";"Les bains consomment des volumes critiques d'eau. Remplacez-les par des douches.";"Ne pas prendre de bain";"357";"0.1";"357.0";"0.0";"357"
"109";"Eau";"Bouclier Hydrique";"Récupération des Eaux Grises";"L'eau de pluie et l'eau froide de douche sont des ressources recyclables. Récupérez-les pour l'irrigation.";"Récupérer l’eau de pluie ou l’eau froide de la douche avant qu’elle chauffe pour arroser les plantes";"35";"0.0";"35.0";"0.0";"35"
"240";"Eau";"Bouclier Hydrique";"Réinjection Hydrique Végétale";"Ne gaspillez pas l'eau restante. Videz votre gourde dans les plantes pour recycler l'humidité.";"Vider le reste de sa gourde dans les plantes";"0.000013";"0.0";"0.0";"0.0";"10"
